text,question,info_column_two,info_column_three,text_answer,info_column_five,info_column_six,info_column_seven,info_column_eight,info_column_9,10,11,12,id,text_chunk,start_index
DATA-18,"Do you have a cryptographic key management process (generation, exchange, storage, safeguards, use, vetting, and replacement), that is documented and currently implemented, for all system components? (e.g. database, system, web, etc.)",Yes,Yes; All data that can be accessed via the internet is restricted to IAM credentials or can be accessed via authorized endpoints that restrict information access based on the user's permissions.,Summarize your cryptographic key management process.,,,,,,,,,105,DATA-18,0.0
DATA-19,"Do current backups include all operating system software, utilities, security software, application software, and data files necessary for recovery?",Yes,"AWS houses our data store and media backups. These systems are backed up as AMI images so that full recovery is easily accomplished.  Gitlab stores our code backups. https://aws.amazon.com/compliance/iso-27001-faqs/
DATA-20,Are you performing off site backups? (i.e. digitally moved off site),Yes,All backups are stored off site in AWS data centers and duplicated across regions.,Summarize your off site backup strategy.
DATA-21,Are physical backups taken off site? (i.e. physically moved off site),No,All backups are stored off site in AWS data centers.,State any plans to implement off site physical backups in your environment.
DATA-22,Do backups containing the institution's data ever leave the Institution's Data Zone either physically or via network routing?,Yes,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).,Summarize why backups containing the Institution's data leave the Institution's data zone.
DATA-23,Do you have a media handling process", that is documented and currently implemented, including end-of-life, repurposing," and data sanitization procedures?""",Yes,"Full Measure will provide Client with access to their data within 48 hours of effective notice of cancellation, termination etc.  The data is the customer’s data and will always be the customer’s data. This includes any data generated by our system. This is clearly articulated in our standard master terms agreement. Our standard practice is to retain data for three months as a precaution to ensure that you can get access to data or reinstate your contract without issue. We will delete the data immediately and completely if asked to do so.  All data will be made available upon customer request within 48 hours via CSV file exchange via SFTP.",Provide details of these procedures (link or attached).,,,106,DATA-19,0.0
DATA-24,Does the process described in DATA-23 adhere to DoD 5220.22-M and/or NIST SP 800-88 standards?,Yes,,,,,,,,,,,107,DATA-24,0.0
DATA-25,Do procedures exist to ensure that retention and destruction of data meets established business and regulatory requirements?,Yes,"Full Measure Education must keep the storage of Student Data to the minimum necessary required for business, legal and/or regulatory purposes. When no longer required for such purposes, Student Data on Full Measure Education information systems or on Full Measure Education electronic and non-electronic media must be appropriately disposed of. Please see Information Security Policy attached for more information.",Provide a general summary of your long-term data retention strategy.,,,,,,,,,108,DATA-25,0.0
DATA-26,"Is media used for long-term retention of business data and archival purposes stored in a secure, environmentally protected area?",Yes,All archival data is stored in AWS S3 buckets that are encrypted at rest and in transit.,Provide a general summary of your archival environment.,,,,,,,,,109,DATA-26,0.0
DATA-27,Will you handle data in a FERPA compliant manner?,Yes,"Network security is the joint responsibility of FME and AWS and conforms to AWS FERPA governed data best practices. (https://d0.awsstatic.com/whitepapers/AWS_FERPA_Whitepaper.pdf) In addition, all employees at Full Measure undergo annual FERPA compliance training.",Describe how FERPA compliance is integrated into your process and procedures.,,,,,,,,,110,DATA-27,0.0
DATA-28,Is any institution data visible in system administration modules/tools?,No,,,,,,,,,,,111,DATA-28,0.0
DBAS-01,Does the database support encryption of specified data elements in storage?,Yes,"Yes, we encrypt certain fields with aes-256-gcm level security.",Describe the type of encryption that is supported.,,,,,,,,,112,DBAS-01,0.0
DBAS-02,Do you currently use encryption in your database(s)?,Yes,"Any system or service requiring the transmission or storage of information such as social security numbers (SSN's), non-public personal financial information or other personally identifiable information (PII) will use an approved method of encryption as a means of protecting data.  Approved encryption methods will be defined and determined by the Full Measure Education ISO.  Any transmission of sensitive company information and/or non-public personal staff or customer information sent via email must be encrypted and / or password protected. Additional protection will be in accordance with the Cryptography Controls Policy and the Information Classification Policy. 
DCTR-01,Does your company own the physical data center where the Institution's data will reside?,No,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).  Please see the link below and attached EYCP https://aws.amazon.com/compliance/iso-27001-faqs/,Provide a detailed description of where the Institution's data will reside.
DCTR-02,Does the hosting provider have a SOC 2 Type 2 report available?,Yes,Please see SOC 2 report attached.,Obtain the report if possible and add it to your submission.
DCTR-03,Are the data centers staffed 24 hours a day","seven days a week (i.e 24x7x365)?""",Yes,Please see SOC 2 report attached.,Describe the on-site staff capabilities.,,,,,,113,DBAS-02,0.0
DCTR-04,Do any of your servers reside in a co-located data center?,No,All data centers are wholly owned by AWS,,,,,,,,,,114,DCTR-04,0.0
DCTR-05,"Are your servers separated from other companies via a physical barrier, such as a cage or hardened walls?",,,,,,,,,,,,115,DCTR-05,0.0
DCTR-06,Does a physical barrier fully enclose the physical space preventing unauthorized physical contact with any of your devices?,,,,,,,,,,,,116,DCTR-06,0.0
DCTR-07,Select the option that best describes the network segment that servers are connected to.,Shared VLAN,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).  Please see the link below and attached EYCP https://aws.amazon.com/compliance/iso-27001-faqs/ All fullmeasure application systems are placed on a VPC to segregate data from third parties.,Provide a general summary of the implemented networking strategy.,,,,,,,,,117,DCTR-07,0.0
DCTR-08,Does this data center operate outside of the Institution's Data Zone?,No,,,,,,,,,,,118,DCTR-08,0.0
DCTR-09,Will any institution data leave the Institution's Data Zone?,No,,,,,,,,,,,119,DCTR-09,0.0
DCTR-10,"List all datacenters and the cities, states (provinces), and countries where the Institution's data will be stored (including within the Institution's Data Zone).   ",Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).  Please see the link below and attached EYCP Certification in section “A” of the addenda: https://aws.amazon.com/compliance/iso-27001-faqs/,,Ensure that all parts of DCTR-10 are clearly stated in your response.,,,,,,,,,120,DCTR-10,0.0
DCTR-11,Are your primary and secondary data centers geographically diverse?,Yes,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).  Please see the link below and attached EYCP https://aws.amazon.com/compliance/iso-27001-faqs/,"State your primary and secondary data center locations. For cloud infrastructures, state the primary and secondary zones.",,,,,,,,,121,DCTR-11,0.0
DCTR-12,"If outsourced or co-located, is there a contract in place to prevent data from leaving the Institution's Data Zone?",Yes,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).  Please see the link below and attached EYCP https://aws.amazon.com/compliance/iso-27001-faqs/,"Summarize details of the contract, where applicable.",,,,,,,,,122,DCTR-12,0.0
DCTR-13,What Tier Level is your data center (per levels defined by the Uptime Institute)?,Tier III,"AWS operates [its] data centers in alignment with the Tier III+ guidelines, but [they] have chosen not to have a certified Uptime Institute based tiering level so that we have more flexibility to expand and improve performance. AWS' approach to infrastructure performance acknowledges the Uptime Institute's Tiering guidelines and applies them to our global data center infrastructure design to ensure the highest level of performance and availability for our customers. For more information please visit the link.",Review the Uptime Institute's level/tier direction provided on their website if you need addition information to answer DCTR-13.,,,,,,,,,123,DCTR-13,0.0
DCTR-14,Is the service hosted in a high availability environment?,Yes,"Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).  Please see the link below and attached EYCP https://aws.amazon.com/compliance/iso-27001-faqs/
DCTR-15,Is redundant power available for all datacenters where institution data will reside? ,Yes,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).  Please see the link below and attached EYCP https://aws.amazon.com/compliance/iso-27001-faqs/,Provide a detailed description of the implemented strategy. (i.e. batteries"," generator)""",,,,,,,,,124,DCTR-14,0.0
DCTR-16,Are redundant power strategies tested?,Yes,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).  Please see the link below and attached EYCP https://aws.amazon.com/compliance/iso-27001-faqs/,State how often redundant power strategies are tested and the date of the last successful test.,,,,,,,,,125,DCTR-16,0.0
DCTR-17,Describe or provide a reference to the availability of cooling and fire suppression systems in all datacenters where institution data will reside.,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).  Please see the link below and attached EYCP https://aws.amazon.com/compliance/iso-27001-faqs/,,Ensure that all parts of DCTR-17 are clearly stated in your response.,,,,,,,,,126,DCTR-17,0.0
DCTR-18,State how many Internet Service Providers (ISPs) provide connectivity to each datacenter where the institution's data will reside. ,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).  Please see the link below and attached EYCP https://aws.amazon.com/compliance/iso-27001-faqs/,,State the ISP provider(s) in addition to the number of ISPs that provide connectivity.,,,,,,,,,127,DCTR-18,0.0
DCTR-19,Does every datacenter where the Institution's data will reside have multiple telephone company or network provider entrances to the facility?,Yes,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).  Please see the link below and attached EYCP https://aws.amazon.com/compliance/iso-27001-faqs/,Provide a brief description for each datacenter.,,,,,,,,,128,DCTR-19,0.0
DRPL-01,Describe or provide a reference to your Disaster Recovery Plan (DRP).,Please see the DRP attached.,,Provide a valid URL to your current DRP or submit it along with this fully-populated HECVAT.,,,,,,,,,129,DRPL-01,0.0
DRPL-02,Is an owner assigned who is responsible for the maintenance and review of the DRP?,Yes,"Anthony Walasik, Director of Product Development","State the responsible owner, or position title.",,,,,,,,,130,DRPL-02,0.0
DRPL-03,Can the Institution review your DRP and supporting documentation?,Yes,Please see the DRP attached.,Provide DRP with your submission of this fully-populated HECVAT.,,,,,,,,,131,DRPL-03,0.0
DRPL-04,Are any disaster recovery locations outside the Institution's Data Zone?,No,,,,,,,,,,,132,DRPL-04,0.0
DRPL-05,Does your organization have a disaster recovery site or a contracted Disaster Recovery provider?,Yes,All data is replicated across two regions,Summarize your disaster recovery strategy including the type of availability your disaster recovery site provides.,,,,,,,,,133,DRPL-05,0.0
DRPL-06,Does your organization conduct an annual test of relocating to this site for disaster recovery purposes?,Yes,Annual testing is done to ensure that switching between regions does not interrupt service using our staging environment which directly mimics the production setup.,Summarize your disaster recovery relocation testing strategy.,,,,,,,,,134,DRPL-06,0.0
DRPL-07,Is there a defined problem/issue escalation plan in your DRP for impacted clients?,Yes,"This policy and procedure has been established to ensure that in the event of a disaster or crisis, personnel will have a clear understanding of who should be contacted.  Procedures have been addressed to ensure that communications can be quickly established while activating disaster recovery.  
DRPL-08,Is there a documented communication plan in your DRP for impacted clients?,Yes,The person discovering the incident calls a member of the Emergency Response Team in the order listed:",,,,,,,,,,135,DRPL-07,0.0
DRPL-09,"Describe or provide a reference to how your disaster recovery plan is tested? (i.e. scope of DR tests, end-to-end testing, etc.)",Annual testing is done to ensure that switching between regions does not interrupt service using our staging environment which directly mimics the production setup.,,Ensure that all elements of DRPL-09 are clearly stated in your response.,,,,,,,,,136,DRPL-09,0.0
DRPL-10,Has the Disaster Recovery Plan been tested in the last year?  Please provide a summary of the results in Additional Information (including actual recovery time).,Yes,Recovery time for the data store took 1 hour.,"Provide a summary of the results, including actual recovery time.",,,,,,,,,137,DRPL-10,0.0
DRPL-11,Do the documented test results identify your organizations actual recovery time capabilities for technology and facilities?,Yes,,Summarize your recovery time capabilities observations.,,,,,,,,,138,DRPL-11,0.0
DRPL-12,Are all components of the DRP reviewed at least annually and updated as needed to reflect change? ,Yes,Full Measure follows the best practices provided by Amazon Web Services.,Summarize your DRP review and update processes and/or procedures.,,,,,,,,,139,DRPL-12,0.0
DRPL-13,"Do you carry cyber-risk insurance to protect against unforeseen service outages, data that is lost or stolen, and security incidents?",Yes,"FME maintains Cyber Liability coverage at $1,000,000 per incident up to $5,000,000 aggregate.",Summarize your cyber insurance strategy.,,,,,,,,,140,DRPL-13,0.0
FIDP-01,Are you utilizing a web application firewall (WAF)?,Yes,"Firewall security devices, including firewalls, routers and Intrusion detection and/or prevention systems play a critical role in Full Measure Education’s system of controls to prevent and detect unauthorized access to the Full Measure Education’s data and physical assets.  Firewall security is managed through AWS security groups and all systems are protected behind a VPC.
FIDP-02,Are you utilizing a stateful packet inspection (SPI) firewall?,Yes,Firewall security devices", including firewalls, routers and Intrusion detection and/or prevention systems play a critical role in Full Measure Education’s system of controls to prevent and detect unauthorized access to the Full Measure Education’s data and physical assets.  Firewall security is managed through AWS security groups and all systems are protected behind a VPC.,,,,,,,,141,FIDP-01,0.0
FIDP-03,State and describe who has the authority to change firewall rules?,Firewall rules are changed only by our Director of Product Development.,,Ensure that all parts of FIDP-03 are clearly stated in your response.,,,,,,,,,142,FIDP-03,0.0
FIDP-04,Do you have a documented policy for firewall change requests?,Yes,All firewall controls are managed by the Director of Product Development. All requests must be made to the Director of Product Development.,Describe your documented firewall change request policy.,,,,,,,,,143,FIDP-04,0.0
FIDP-05,Have you implemented an Intrusion Detection System (network-based)?,Yes,AWS Guard Duty and Inspector,Describe the currently implemented IDS.,,,,,,,,,144,FIDP-05,0.0
FIDP-06,Have you implemented an Intrusion Prevention System (network-based)?,Yes,"Firewall security devices, including firewalls, routers and Intrusion detection and/or prevention systems play a critical role in Full Measure Education’s system of controls to prevent and detect unauthorized access to the Full Measure Education’s data and physical assets.  Firewall security is managed through AWS security groups and all systems are protected behind a VPC.
FIDP-07,Do you employ host-based intrusion detection?,Yes,Firewall security devices", including firewalls," routers and Intrusion detection and/or prevention systems play a critical role in Full Measure Education’s system of controls to prevent and detect unauthorized access to the Full Measure Education’s data and physical assets.  Firewall security is managed through AWS security groups and all systems are protected behind a VPC. Please see Information Security Policy attached for more information""",Describe the currently implemented host-based IDS solution(s).,,,,,,,145,FIDP-06,0.0
FIDP-08,Do you employ host-based intrusion prevention?,Yes,"Firewall security devices, including firewalls, routers and Intrusion detection and/or prevention systems play a critical role in Full Measure Education’s system of controls to prevent and detect unauthorized access to the Full Measure Education’s data and physical assets.  Firewall security is managed through AWS security groups and all systems are protected behind a VPC. Please see Information Security Policy attached for more information",Describe the currently implemented host-based IPS solution(s).,,,,,,,,,146,FIDP-08,0.0
FIDP-09,Are you employing any next-generation persistent threat (NGPT) monitoring?,Yes,AWS Guard Duty and Inspector monitors for malicious activity ,Describe your NGPT monitoring strategy.,,,,,,,,,147,FIDP-09,0.0
FIDP-10,Do you monitor for intrusions on a 24x7x365 basis?,Yes,AWS Guard Duty and Inspector,Provide a brief summary of this activity.,,,,,,,,,148,FIDP-10,0.0
FIDP-11,Is intrusion monitoring performed internally or by a third-party service?,"Full Measure facilities are managed by AWS.  Vulnerability management and intrusion detection are monitored using AWS GuardDuty and Amazon Macie software.  GuardDuty is a managed threat detection service that provides a more accurate and easy way to continuously monitor and protect accounts and workloads.  Network and connectivity are monitored using honeybadger uptime detection, and Prometheus/Grafana monitoring of network load, as well as Scout APM monitoring of network performance.  All physical servers are maintained by AWS. Please see the link below and the attached EYCP certification in section “A” of the Addenda: https://aws.amazon.com/compliance/iso-27001-faqs/ Database: Full Measure uses both MySQL and Postgres databases secured behind VPC networks on AWS RDS instances.  Application level security is ensured using Role-Based Access Control sessions that implement OAuth or encrypted session management.",,"In addtion to stating your intrusion monitoring strategy, provide a brief summary of its implementation.",,,,,,,,,149,FIDP-11,0.0
FIDP-12,"Are audit logs available for all changes to the network, firewall, IDS, and IPS systems?",Yes,IAM Management provides these logs,Describe your current network systems logging strategy.,,,,,,,,,150,FIDP-12,0.0
MAPP-01,On which mobile operating systems is your software or service supported?,Our software is fully accessible via any mobile web browser. Users may take tours via mobile web browser or via an aggregate mobile app available on iOS and Android.,,"Ensure that all supported operating systems are listed - be sure to provide version number, where relevant. ",,,,,,,,,151,MAPP-01,0.0
MAPP-02,Describe or provide a reference to the application's architecture and functionality.,"Model-View-Controller (MVC): This is a traditional architecture that separates the app into three components: the model (data and business logic), the view (user interface), and the controller (mediator between model and view). Information about functionality can be found here: https://docs.google.com/presentation/d/1Ig9hEw8LVaSG3-14_LPy13kn5CHeXByM-7ukfudngtg/edit?usp=sharing",,Ensure that all elements of MAPP-02  are clearly stated in your response. (i.e. (architecture AND functionality are defined),,,,,,,,,152,MAPP-02,0.0
MAPP-03,"Is the application available from a trusted source (e.g., iTunes App Store, Android Market, BB World)?",Yes,The mobile application is available via the Apple App Store and Android Market.,State the application title as listed within the trusted source.,,,,,,,,,153,MAPP-03,0.0
MAPP-04,"Does the application store, process, or transmit critical data?",No,,,,,,,,,,,154,MAPP-04,0.0
MAPP-05,Is Institution's data encrypted in transport?,Yes,"Data transport is secured by three layers of redundant security: HTTPS, an API Key, and Secret Key Encryption.",Describe how data is encrypted in transport. (i.e. from system to app),,,,,,,,,155,MAPP-05,0.0
MAPP-06,"Is Institution's data encrypted in storage? (e.g. disk encryption, at-rest)",Yes,"Sensitive student data, including PII is encrypted with AES-256 when at rest",Describe how data is encrypted in storage. (i.e. at-rest within the app),,,,,,,,,156,MAPP-06,0.0
MAPP-07,"Does the mobile application support Kerberos, CAS, or Active Directory authentication?",No,Log in is not required to use the mobile application.,State any plans to support these authentication systems.,,,,,,,,,157,MAPP-07,0.0
MAPP-08,Will any of these systems be implemented on systems hosting the Institution's data?,,,,,,,,,,,,158,MAPP-08,0.0
MAPP-09,"Does the application adhere to secure coding practices (e.g. OWASP, etc.)?",Yes,The same coding practices are used on the mobile application as for our platform. All code is peer reviewed prior to deployment to production and is verified by a senior developer to ensure security best practices are being implemented.,Summarize your secure coding practices.,,,,,,,,,159,MAPP-09,0.0
MAPP-10,Has the application been tested for vulnerabilities by a third party?,Yes,TechCXO - December 2022. Please see the attached report.,"State the party that performed the test and the date it was conducted. Provide test results and mitigation plans, if any.",,,,,,,,,160,MAPP-10,0.0
MAPP-11,State the party that performed the vulnerability test and the date it was conducted?,TechCXO - December 2022. Please see the attached report.,,Ensure that all elements of MAPP-11  are clearly stated in your response.,,,,,,,,,161,MAPP-11,0.0
PHYS-01,Does your organization have physical security controls and policies in place?,Yes,https://docs.google.com/document/d/1H5mptux5JZQ457tmbJTWNvCBnR58fHUwZ3fQQ2KN_x8/edit?usp=sharing,Provide a copy of your physical security controls and policies along with this document (link or attached).,,,,,,,,,162,PHYS-01,0.0
PHYS-02,Are employees allowed to take home Institution's data in any form?,Yes,https://docs.google.com/document/d/1H5mptux5JZQ457tmbJTWNvCBnR58fHUwZ3fQQ2KN_x8/edit?usp=sharing,Provide a detailed summary outlining the security controls implemented to protect the Institution's data.,,,,,,,,,163,PHYS-02,0.0
PHYS-03,Are video monitoring feeds retained?,Yes,Physical access points to server rooms are recorded by Closed Circuit Television Camera (CCTV). Images are retained according to legal and compliance requirements. Please see link for more information. https://aws.amazon.com/compliance/data-center/controls/,State the retention period for security video.,,,,,,,,,164,PHYS-03,0.0
PHYS-04,Are video feeds monitored by datacenter staff?,Yes,Please see link for more information. https://aws.amazon.com/compliance/data-center/controls/,Summarize your video monitoring strategy for datacenter staff.,,,,,,,,,165,PHYS-04,0.0
PHYS-05,Are individuals required to sign in/out for installation and removal of equipment?,Yes,"Physical access to AWS data centers is logged, monitored, and retained. AWS correlates information gained from logical and physical monitoring systems to enhance security on an as-needed basis. Please see link for more information. https://aws.amazon.com/compliance/data-center/controls/",Summarize your process and procedure for the installation and removal of equipment to/from your environment.,,,,,,,,,166,PHYS-05,0.0
PPPR-01,"Can you share the organization chart, mission statement, and policies for your information security unit?",Yes,"The technology team has a designated security lead who ensures current best practices are being adopted across the organization.  The entire development team is also explicitly tasked with ensuring security best practices are implemented at each stage of the development, deployment and systems management phase of the platform development lifecycle. In order to ensure these best practices, the development team meets once a quarter to review AWS security best practices and implement adjustments where warranted.",Provide a links to these documents in Additional Information or attach them with your submission. Include the responsible party for your information security program and the size of your security staff.,,,,,,,,,167,PPPR-01,0.0
PPPR-02,Do you have a documented patch management process?,Yes,"Yes, daily builds are run against several vulnerability checks and patch updates are deployed during each new release. We us AWS Security Hub and GuardDuty to monitor system vulnerabilities. ",Summarize your documented patch management process.,,,,,,,,,168,PPPR-02,0.0
PPPR-03,Can you accommodate encryption requirements using open standards?,Yes,We can accomodate any encryption requirements using open standards.,Summarize any limitations to your accomodation capabilities.,,,,,,,,,169,PPPR-03,0.0
PPPR-04,Have your developers been trained in secure coding techniques?,Yes,All developers have undergone AWS security best practices training.,Provide a brief description of the training provided.,,,,,,,,,170,PPPR-04,0.0
PPPR-05,Was your application developed using secure coding techniques?,Yes,All code is peer reviewed prior to deployment to production and is verified by a senior developer to ensure security best practices are being implemented.,Describe the secure coding techniques used to develop your application.,,,,,,,,,171,PPPR-05,0.0
PPPR-06,Do you subject your code to static code analysis and/or static application security testing prior to release?,Yes,"Yes, all code is subjected to Code Climate analysis.",Provide a list of all tools utilized during static code analysis or static application security testing.,,,,,,,,,172,PPPR-06,0.0
PPPR-07,Do you have software testing processes (dynamic or static) that are established and followed?,Yes,We use peer review using git/gitlab on all merge requests to our system. All releases are run through our Quality Assurance team and managed by the Release Manager. In addition both automated integration and unit tests help to ensure the correct functioning of the fullmeasure product.,"Describe testing processes, including but not limited to, development of test plans, personnel involved in the testing process, and authorized individual accountable for approval and certification of test results.",,,,,,,,,173,PPPR-07,0.0
PPPR-08,Are information security principles designed into the product lifecycle?,Yes,"Security remains a priority of Full Measure, and is discussed throughout all phases of the product development lifecycle.",Summarize the information security principles designed into the product lifecycle.,,,,,,,,,174,PPPR-08,0.0
PPPR-09,Do you have a documented systems development life cycle (SDLC)?,Yes,Full Measure adheres to the Agile process. All features are created by a product manager who distributes requirements to the development team. The development team reviews and assigns the work. All code is reviewed via pull requests and subjected to automated testing and automated code quality tests. Merged features and patches are audited via gitlab. Feature changes are reported to customers as they are pushed to the production environment. Most changes are additive and customers are contacted prior to turing the feature on. If there is a critical or substantive bug all clients will be notified immediately.,"Describe or provide a reference to your system development life cycle methodology including your environments, version control, and change management (if not already covered in the Change Management section).",,,,,,,,,175,PPPR-09,0.0
PPPR-10,Do you have a formal incident response plan?,Yes,"Response to significant cyber incidents is guided by the company’s Incident Response Team (IRT).  Although first responders may be general IT staff or even other company employees, the IRT provides overall response guidance.  This team’s first effort during an incident is to take control of the situation with the intent of mitigating potential damage to the company or its customers.  It is the IRT's responsibility to:
PPPR-11,Will you comply with applicable breach notification laws?,Yes,Full Measure will comply with all applicable laws. Client will be notified immediately of a relevant breach or incident.,State how quickly the Institution will be notified of a data breach or security incident.
PPPR-12,Will you comply with the Institution's IT policies with regards to user privacy and data protection?,Yes,We have reviewed the Institution's IT policies with regrds to user privacy and data protection.,State that you have reviewed the Institution's IT policies with regards to user privacy and data protection.
PPPR-13,Is your company subject to Institution's Data Zone laws and regulations?,Yes,,
PPPR-14,Do you perform background screenings or multi-state background checks on all employees prior to their first day of work?,Yes,Full Measure has contracted with CompuFACT Research to perform extensive background checks on any individual who will have access to confidential information including a criminal background check with the ability to access criminal records at the Federal", State,"or any one of the 3200 County courthouses nationwide.""",Summarize your background check practices.,,,,,,,176,PPPR-10,0.0
PPPR-15,Do you require new employees to fill out agreements and review policies?  ,Yes," All new employees will receive security training as a part of new employee orientation.  All employees will receive annual security training on a schedule determined by company management. This training will include a review of relevant IT Policies, technology changes, and the procedures to follow in maintaining the confidentiality of Student Data.",Summarize the required agreements and reviewed policies.,,,,,,,,,177,PPPR-15,0.0
PPPR-16,Do you have documented information security policy?,Yes,Please find our Information Security Policy attached.,Provide a reference to your information security policy or submit documentation with this fully-populated HECVAT.,,,,,,,,,178,PPPR-16,0.0
PPPR-17,Do you have an information security awareness program?,Yes,"All employees will receive annual security training on a schedule determined by company management. This training will include a review of relevant IT Policies, technology changes, and the procedures to follow in maintaining the confidentiality of Student Data.",Summarize your information security awareness program.,,,,,,,,,179,PPPR-17,0.0
PPPR-18,Is security awareness training mandatory for all employees?,Yes,"All employees will receive annual security training on a schedule determined by company management. This training will include a review of relevant IT Policies, technology changes, and the procedures to follow in maintaining the confidentiality of Student Data.",Summarize your security awareness training content and state how frequently employees are required to undergo security awareness training.,,,,,,,,,180,PPPR-18,0.0
PPPR-19,"Do you have process and procedure(s) documented, and currently followed, that require a review and update of the access-list(s) for privileged accounts?",Yes,All permissions are reviewed on a quarterly basis and on the termination of employment.,Provide a brief summary and the implement review interval.,,,,,,,,,181,PPPR-19,0.0
PPPR-20,"Do you have documented, and currently implemented, internal audit processes and procedures?",Yes,We have completed the AWS Well-Archetected Tool assessment and revisit this tool annually.,Summarize your internal audit processes and procedures.,,,,,,,,,182,PPPR-20,0.0
PROD-01,Do you incorporate customer feedback into security feature requests?,Yes,Full Measure uses feedback from its customers in all aspects of the product development lifecycle.,Provide a reference to your customer feedback procedures.,,,,,,,,,183,PROD-01,0.0
PROD-02,Can you provide an evaluation site to the institution for testing?,Yes,We can provide access to a staging version of the platform on request.,"Summarize the scope of your evaluation site(s) and request procedures. Provide references, as needed.",,,,,,,,,184,PROD-02,0.0
QLAS-01,Provide a general summary of your Quality Assurance program.,"All code is subject to peer review, automated and manual testing prior to deployment",,Provide a valid URL to your Quality Assurance program or submit it along with this fully-populated HECVAT.,,,,,,,,,185,QLAS-01,0.0
QLAS-02,Do you comply with ISO 9001?,No,Full Measure plans to attain ISO 9001 certification in the future.,Describe plans and/or efforts towards certification.,,,,,,,,,186,QLAS-02,0.0
QLAS-03,Will your company provide quality and performance metrics in relation to the scope of services and performance expectations for the services you are offering?,Yes,Full Measure will send any metrics needed to assure the institution of satisfactory performance as requested by the institution.,Provide references to quality and performance metrics documentation.,,,,,,,,,187,QLAS-03,0.0
QLAS-04,Have you supplied products and/or services to the Institution (or its Campuses) in the last five years?,No,,,,,,,,,,,188,QLAS-04,0.0
QLAS-05,Do you have a program to keep your customers abreast of higher education and/or industry issues?,No,Full Measure keeps customers abreast of higher education and/or industry issues during regular account meetings. Part of our service includes sharing industry knowledge as it pertains to our product. ,Describe plans to implement this informational program.,,,,,,,,,189,QLAS-05,0.0
SYST-01,Are systems that support this service managed via a separate management network?,No,https://docs.google.com/document/d/1H5mptux5JZQ457tmbJTWNvCBnR58fHUwZ3fQQ2KN_x8/edit#heading=h.gjdgxs,Describe any implemented compensating controls.,,,,,,,,,190,SYST-01,0.0
SYST-02,"Do you have an implemented system configuration management process? (e.g. secure ""gold"" images, etc.)",Yes,https://docs.google.com/document/d/1H5mptux5JZQ457tmbJTWNvCBnR58fHUwZ3fQQ2KN_x8/edit#heading=h.gjdgxs,Summarize your implemented system configuration management precess.,,,,,,,,,191,SYST-02,0.0
SYST-03,Are employee mobile devices managed by your company's Mobile Device Management (MDM) platform?,No,We currently do not equip employees with mobile devices.,State any plans to implement a MDM platform in your environment.,,,,,,,,,192,SYST-03,0.0
SYST-04,"Do you have a systems management and configuration strategy that encompasses servers, appliances, and mobile devices (company and employee owned)?",Yes,https://docs.google.com/document/d/1H5mptux5JZQ457tmbJTWNvCBnR58fHUwZ3fQQ2KN_x8/edit#heading=h.gjdgxs,Summarize your systems management and configuration strategy.,,,,,,,,,193,SYST-04,0.0
VULN-01,Are your applications scanned externally for vulnerabilities?,Yes,Yes; daily builds are run against several vulnerability detection services and patch updates are auto deployed with each new release. We use AWS Security Hub and GuardDuty to perform and monitor system vulnerabilities.,Decribe your external application vulnerability scanning strategy.,,,,,,,,,194,VULN-01,0.0
VULN-02,Have your applications had an external vulnerability assessment in the last year?,Yes,Yes; daily builds are run against several vulnerability detection services and patch updates are auto deployed with each new release. We use AWS Security Hub and GuardDuty to perform and monitor system vulnerabilities.,State the date of your most recent application external assessment.,,,,,,,,,195,VULN-02,0.0
VULN-03,Are your applications scanned for vulnerabilities prior to new releases?,Yes,Yes; daily builds are run against several vulnerability detection services and patch updates are auto deployed with each new release. We use AWS Security Hub and GuardDuty to perform and monitor system vulnerabilities.,Summarize your vulnerability scanning strategy.,,,,,,,,,196,VULN-03,0.0
